Simulating 1024 spins, on a square grid of length 32
beta	absolute magnetization
0.000000	0.021484
0.010000	0.033203
0.020000	0.003906
0.030000	0.021484
0.040000	0.021484
0.050000	0.021484
0.060000	0.048828
0.070000	0.031250
0.080000	0.009766
0.090000	0.027344
0.100000	0.023438
0.110000	0.021484
0.120000	0.031250
0.130000	0.015625
0.140000	0.023438
0.150000	0.011719
0.160000	0.011719
0.170000	0.042969
0.180000	0.000000
0.190000	0.009766
0.200000	0.009766
0.210000	0.025391
0.220000	0.041016
0.230000	0.001953
0.240000	0.019531
0.250000	0.060547
0.260000	0.003906
0.270000	0.062500
0.280000	0.019531
0.290000	0.007812
0.300000	0.015625
0.310000	0.027344
0.320000	0.058594
0.330000	0.005859
0.340000	0.001953
0.350000	0.001953
0.360000	0.013672
0.370000	0.031250
0.380000	0.005859
0.390000	0.019531
0.400000	0.037109
0.410000	0.058594
0.420000	0.060547
0.430000	0.033203
0.440000	0.041016
0.450000	0.060547
0.460000	0.085938
0.470000	0.087891
0.480000	0.099609
0.490000	0.013672
0.500000	0.046875
0.510000	0.150391
0.520000	0.017578
0.530000	0.050781
0.540000	0.320312
0.550000	0.105469
0.560000	0.062500
0.570000	0.183594
0.580000	0.101562
0.590000	0.697266
0.600000	0.632812
0.610000	0.830078
0.620000	0.845703
0.630000	0.869141
0.640000	0.888672
0.650000	0.906250
0.660000	0.958984
0.670000	0.964844
0.680000	0.949219
0.690000	0.953125
0.700000	0.957031
0.710000	0.960938
0.720000	0.992188
0.730000	0.978516
0.740000	0.984375
0.750000	0.972656
0.760000	0.986328
0.770000	0.994141
0.780000	0.980469
0.790000	0.966797
0.800000	0.994141
0.810000	0.990234
0.820000	0.994141
0.830000	0.990234
0.839999	0.998047
0.849999	1.000000
0.859999	0.990234
0.869999	0.992188
0.879999	0.990234
0.889999	1.000000
0.899999	0.996094
0.909999	0.998047
0.919999	0.996094
0.929999	0.992188
0.939999	1.000000
0.949999	0.998047
0.959999	0.998047
0.969999	1.000000
0.979999	0.998047
0.989999	0.998047
0.999999	1.000000
